epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,458.855,0.54701,0.8092,1.08709,0.48535,0.1044,0.1355,0.0722,1.86557,3.5868,2.57345,0.000342359,0.000342359,0.000342359
148,461.418,0.82156,1.09502,1.40548,0.47181,0.09341,0.1301,0.05591,1.85125,3.63927,2.51122,0.000339437,0.000339437,0.000339437
149,464.658,0.4908,0.67807,1.10172,0.46769,0.09341,0.11188,0.04257,1.91762,3.7422,2.49993,0.000336514,0.000336514,0.000336514
150,468.76,0.52034,0.7061,1.06333,0.17631,0.0696,0.06435,0.02853,1.98059,3.77846,2.54434,0.000333592,0.000333592,0.000333592
151,472.607,0.45063,1.13932,0.90265,0.38268,0.09341,0.07765,0.03931,1.96678,3.72775,2.46438,0.00033067,0.00033067,0.00033067
152,475.201,0.52918,0.8192,1.11182,0.38505,0.13919,0.10064,0.06107,1.85998,3.71018,2.49728,0.000327748,0.000327748,0.000327748
153,477.657,0.47104,1.00807,0.91022,0.48633,0.1044,0.16245,0.11777,1.86597,3.63051,2.57794,0.000324826,0.000324826,0.000324826
154,480.25,0.48915,1.09795,1.14562,0.3665,0.17582,0.21957,0.16804,1.84324,3.55871,2.56961,0.000321903,0.000321903,0.000321903
155,483.688,0.44332,0.79021,1.04696,0.40952,0.17582,0.21814,0.1597,1.77172,3.56339,2.46911,0.000318981,0.000318981,0.000318981
156,487.933,0.52324,0.74996,1.05591,0.53111,0.17582,0.22234,0.16033,1.73588,3.67453,2.49872,0.000316059,0.000316059,0.000316059
157,490.925,0.39431,1.09063,0.87833,0.46269,0.18404,0.1904,0.13692,1.76441,3.69646,2.5307,0.000313137,0.000313137,0.000313137
158,493.452,0.56153,0.83016,1.09982,0.4211,0.17886,0.1889,0.13409,1.83387,3.67995,2.64919,0.000310215,0.000310215,0.000310215
159,496.041,0.47858,0.93168,1.03377,0.64157,0.1044,0.15832,0.11388,1.8709,3.628,2.66565,0.000307292,0.000307292,0.000307292
160,498.652,0.63747,0.73185,1.136,0.51759,0.11538,0.19712,0.1324,1.90152,3.521,2.6641,0.00030437,0.00030437,0.00030437
161,502.089,0.42636,0.87649,0.90149,0.51595,0.11538,0.20643,0.13593,1.8888,3.54195,2.62082,0.000301448,0.000301448,0.000301448
162,506.818,0.4785,0.85085,1.04907,0.6399,0.11538,0.24982,0.16536,1.88141,3.53768,2.57518,0.000298526,0.000298526,0.000298526
163,509.76,0.52334,0.85775,1.0777,0.61632,0.1044,0.2563,0.17514,1.82753,3.46914,2.60142,0.000295604,0.000295604,0.000295604
164,512.343,0.51311,1.06219,1.12283,0.62187,0.10371,0.27213,0.18826,1.8601,3.46615,2.62618,0.000292681,0.000292681,0.000292681
165,515.007,0.58963,0.82213,1.08235,0.60405,0.11403,0.25688,0.17632,1.86482,3.40388,2.5943,0.000289759,0.000289759,0.000289759
166,517.59,0.84522,1.07297,1.36276,0.4104,0.11538,0.25555,0.17248,1.86567,3.36887,2.59951,0.000286837,0.000286837,0.000286837
167,521.551,0.66177,1.11409,1.20981,0.27672,0.14798,0.21218,0.13472,1.89612,3.44859,2.61704,0.000283915,0.000283915,0.000283915
168,525.671,0.42603,0.7878,0.99169,0.41246,0.12821,0.2129,0.14222,1.89274,3.52986,2.62121,0.000280993,0.000280993,0.000280993
169,528.357,0.60779,0.91075,1.16257,0.46272,0.12417,0.21701,0.1494,1.86632,3.56454,2.55861,0.00027807,0.00027807,0.00027807
170,531.039,0.52383,0.63658,1.02977,0.42928,0.1453,0.18469,0.11854,1.86106,3.57868,2.55427,0.000275148,0.000275148,0.000275148
171,533.67,0.56196,0.80216,1.12666,0.45984,0.14759,0.18494,0.11476,1.91427,3.60894,2.53546,0.000272226,0.000272226,0.000272226
172,536.325,0.50801,0.72471,1.00801,0.37797,0.18162,0.17897,0.12393,2.00192,3.52876,2.58731,0.000269304,0.000269304,0.000269304
173,540.52,0.80343,0.71588,1.42306,0.37103,0.1722,0.19839,0.13636,1.96706,3.48231,2.52625,0.000266382,0.000266382,0.000266382
174,544.637,0.51582,0.80357,1.10647,0.52103,0.16772,0.19047,0.13944,1.89645,3.4538,2.46547,0.000263459,0.000263459,0.000263459
175,547.723,0.5761,0.74362,1.08215,0.52646,0.16397,0.20177,0.14494,1.94913,3.42279,2.53777,0.000260537,0.000260537,0.000260537
176,550.287,0.51339,1.19186,1.05021,0.50282,0.17368,0.25668,0.17679,1.88858,3.53042,2.534,0.000257615,0.000257615,0.000257615
177,552.72,0.45601,0.61495,1.04034,0.50306,0.17393,0.26175,0.17393,1.89136,3.60627,2.58405,0.000254693,0.000254693,0.000254693
178,555.308,0.37826,1.12285,0.87269,0.49642,0.18075,0.23854,0.14844,1.81374,3.62953,2.64244,0.000251771,0.000251771,0.000251771
179,559.038,0.76804,0.80488,1.43617,0.46988,0.19947,0.19442,0.1312,1.80327,3.71208,2.68436,0.000248848,0.000248848,0.000248848
180,563.177,0.55643,1.0293,1.10985,0.48801,0.15102,0.18653,0.12115,1.88641,3.69353,2.73393,0.000245926,0.000245926,0.000245926
181,566.195,0.49552,0.62014,1.08842,0.48646,0.1505,0.18943,0.11478,1.90483,3.69141,2.72544,0.000243004,0.000243004,0.000243004
